Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
11/26/2020,ID-MA,Maluku,104,0,7,97,4428,60,3755,613,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,56.30,2397.28,0.00,32.48,1.36%,84.80%,1.96,1.00
11/26/2020,ID-MU,Maluku Utara,1,0,0,1,2356,81,1971,304,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,0.76,1801.49,0.00,61.94,3.44%,83.66%,0.33,1.00
11/26/2020,ID-NB,Nusa Tenggara Barat,17,0,22,-5,4577,237,3694,646,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,3.23,868.46,0.00,44.97,5.18%,80.71%,1.70,0.00
11/26/2020,ID-NT,Nusa Tenggara Timur,75,0,2,73,1077,17,690,370,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,13.86,199.03,0.00,3.14,1.58%,64.07%,1.79,0.00
11/26/2020,ID-PA,Papua,36,0,0,36,9934,137,5030,4767,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,8.29,2288.76,0.00,31.56,1.38%,50.63%,0.92,1.00
11/26/2020,ID-PB,Papua Barat,49,0,39,10,5204,82,4504,618,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,42.96,4562.11,0.00,71.89,1.58%,86.55%,0.62,1.00
11/26/2020,ID-RI,Riau,206,4,197,5,19335,430,16766,2139,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,33.91,3183.19,0.66,70.79,2.22%,86.71%,0.87,0.80
11/26/2020,ID-SR,Sulawesi Barat,25,1,15,9,1404,21,1241,142,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,16.03,900.01,0.64,13.46,1.50%,88.39%,12.50,
11/26/2020,ID-SN,Sulawesi Selatan,77,0,45,32,20201,490,18208,1503,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,8.17,2142.91,0.00,51.98,2.43%,90.13%,2.08,0.00
11/26/2020,ID-ST,Sulawesi Tengah,13,2,35,-24,1700,68,1017,615,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,4.40,575.19,0.68,23.01,4.00%,59.82%,0.24,0.50
11/26/2020,ID-SG,Sulawesi Tenggara,46,0,110,-64,6265,98,4610,1557,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,17.45,2377.19,0.00,37.19,1.56%,73.58%,0.88,0.00
11/26/2020,ID-SA,Sulawesi Utara,44,2,20,22,6594,239,5212,1143,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,16.65,2495.95,0.76,90.47,3.62%,79.04%,0.56,
11/26/2020,ID-SB,Sumatera Barat,307,5,51,251,19251,394,15545,3312,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,55.62,3487.98,0.91,71.39,2.05%,80.75%,1.18,0.83
11/26/2020,ID-SS,Sumatera Selatan,81,3,36,42,9300,495,7399,1406,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,9.86,1131.72,0.37,60.24,5.32%,79.56%,1.37,
11/26/2020,ID-SU,Sumatera Utara,82,0,88,-6,15235,600,12620,2015,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,5.51,1024.21,0.00,40.34,3.94%,82.84%,0.98,0.00
11/27/2020,ID-AC,Aceh,21,1,4,16,8244,329,6583,1332,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,4.00,1571.11,0.19,62.70,3.99%,79.85%,0.88,0.20
11/27/2020,ID-BA,Bali,82,3,53,26,13582,422,12306,854,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,19.45,3221.41,0.71,100.09,3.11%,90.61%,0.74,0.60
11/27/2020,ID-BT,Banten,191,4,116,71,12414,322,8529,3563,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,17.81,1157.77,0.37,30.03,2.59%,68.70%,1.32,2.00
